P,M,repl,T1_m,T1_f,T1_sum,T1_ratio,T2_m,T2_f,T2_sum,T2_ratio,T3_m,T3_f,T3_sum,T3_ratio,all_m,all_f,all_sum,all_ratio
H1,H1,R1,14,13,27,1.076923077,26,22,48,1.181818182,10,10,20,1,50,45,95,1.111111111
H1,H1,R2,11,23,34,0.47826087,18,19,37,0.947368421,12,28,40,0.428571429,41,70,111,0.585714286
H1,H1,R3,20,24,44,0.833333333,20,22,42,0.909090909,11,7,18,1.571428571,51,53,104,0.962264151
H1,H1,R4,18,15,33,1.2,16,19,35,0.842105263,13,7,20,1.857142857,47,41,88,1.146341463
H1,H1,R5,15,18,33,0.833333333,11,21,32,0.523809524,9,21,30,0.428571429,35,60,95,0.583333333
H1,H3,R1,16,18,34,0.888888889,15,15,30,1,9,12,21,0.75,40,45,85,0.888888889
H1,H3,R2,12,19,31,0.631578947,17,16,33,1.0625,16,18,34,0.888888889,45,53,98,0.849056604
H1,H3,R3,14,12,26,1.166666667,29,6,35,4.833333333,12,12,24,1,55,30,85,1.833333333
H1,H3,R4,18,16,34,1.125,9,18,27,0.5,15,19,34,0.789473684,42,53,95,0.79245283
H1,H3,R5,21,18,39,1.166666667,21,21,42,1,15,15,30,1,57,54,111,1.055555556
H1,H6,R1,11,26,37,0.423076923,17,20,37,0.85,13,12,25,1.083333333,41,58,99,0.706896552
H1,H6,R2,9,19,28,0.473684211,10,15,25,0.666666667,11,15,26,0.733333333,30,49,79,0.612244898
H1,H6,R3,28,17,45,1.647058824,16,17,33,0.941176471,9,16,25,0.5625,53,50,103,1.06
H1,H6,R4,17,21,38,0.80952381,16,16,32,1,18,12,30,1.5,51,49,100,1.040816327
H1,H6,R5,13,22,35,0.590909091,17,28,45,0.607142857,6,19,25,0.315789474,36,69,105,0.52173913
H3,H3,R1,26,23,49,1.130434783,25,23,48,1.086956522,12,21,33,0.571428571,63,67,130,0.940298507
H3,H3,R2,16,10,26,1.6,14,20,34,0.7,18,16,34,1.125,48,46,94,1.043478261
H3,H3,R3,20,22,42,0.909090909,16,20,36,0.8,11,24,35,0.458333333,47,66,113,0.712121212
H3,H3,R4,10,22,32,0.454545455,12,20,32,0.6,24,19,43,1.263157895,46,61,107,0.754098361
H3,H3,R5,23,25,48,0.92,22,23,45,0.956521739,13,19,32,0.684210526,58,67,125,0.865671642
H3,H1,R1,26,25,51,1.04,16,7,23,2.285714286,23,12,35,1.916666667,65,44,109,1.477272727
H3,H1,R2,21,20,41,1.05,21,17,38,1.235294118,13,13,26,1,55,50,105,1.1
H3,H1,R3,43,19,62,2.263157895,19,25,44,0.76,13,16,29,0.8125,75,60,135,1.25
H3,H1,R4,23,36,59,0.638888889,23,25,48,0.92,18,20,38,0.9,64,81,145,0.790123457
H3,H1,R5,23,13,36,1.769230769,16,13,29,1.230769231,12,10,22,1.2,51,36,87,1.416666667
H3,H6,R1,24,25,49,0.96,20,20,40,1,10,14,24,0.714285714,54,59,113,0.915254237
H3,H6,R2,14,17,31,0.823529412,12,8,20,1.5,15,19,34,0.789473684,41,44,85,0.931818182
H3,H6,R3,30,22,52,1.363636364,16,22,38,0.727272727,27,18,45,1.5,73,62,135,1.177419355
H3,H6,R4,21,19,40,1.105263158,22,35,57,0.628571429,16,25,41,0.64,59,79,138,0.746835443
H3,H6,R5,29,31,60,0.935483871,21,19,40,1.105263158,15,26,41,0.576923077,65,76,141,0.855263158
H6,H6,R1,11,14,25,0.785714286,16,14,30,1.142857143,24,12,36,2,51,40,91,1.275
H6,H6,R2,16,18,34,0.888888889,18,17,35,1.058823529,12,16,28,0.75,46,51,97,0.901960784
H6,H6,R3,13,15,28,0.866666667,23,19,42,1.210526316,21,15,36,1.4,57,49,106,1.163265306
H6,H6,R4,33,23,56,1.434782609,20,22,42,0.909090909,18,19,37,0.947368421,71,64,135,1.109375
H6,H6,R5,29,35,64,0.828571429,14,12,26,1.166666667,9,20,29,0.45,52,67,119,0.776119403
H6,H1,R1,24,22,46,1.090909091,15,10,25,1.5,18,13,31,1.384615385,57,45,102,1.266666667
H6,H1,R2,22,16,38,1.375,12,18,30,0.666666667,15,18,33,0.833333333,49,52,101,0.942307692
H6,H1,R3,18,31,49,0.580645161,9,16,25,0.5625,13,21,34,0.619047619,40,68,108,0.588235294
H6,H1,R4,16,21,37,0.761904762,21,9,30,2.333333333,16,14,30,1.142857143,53,44,97,1.204545455
H6,H1,R5,13,20,33,0.65,14,13,27,1.076923077,10,13,23,0.769230769,37,46,83,0.804347826
H6,H3,R1,15,14,29,1.071428571,6,10,16,0.6,9,9,18,1,30,33,63,0.909090909
H6,H3,R2,12,21,33,0.571428571,24,16,40,1.5,17,14,31,1.214285714,53,51,104,1.039215686
H6,H3,R3,17,13,30,1.307692308,12,23,35,0.52173913,5,21,26,0.238095238,34,57,91,0.596491228
H6,H3,R4,16,18,34,0.888888889,14,15,29,0.933333333,12,15,27,0.8,42,48,90,0.875
H6,H3,R5,15,21,36,0.714285714,14,11,25,1.272727273,25,14,39,1.785714286,54,46,100,1.173913043
